appid,total_reviews,positive_reviews,negative_reviews,positive_rate,review_score,review_score_desc,review_language,review_purchase_type,review_type,filter_offtopic_activity,day_range,review_collected_at,review_status,schema_error,http_status,request_retry_count,request_latency_seconds,http_429_count,http_5xx_count,transport_error_count
267390,14,12,2,0.8571428571428571,7,Positive,all,steam,all,1,365,2026-09-13T18:40:37.268199+00:00,success,,200,0,0.484000000000151,0,0,0
427410,41961,40249,1712,0.9592002097185481,9,Overwhelmingly Positive,all,steam,all,1,365,2026-09-13T18:40:39.520996+00:00,success,,200,0,2.109000000000151,0,0,0
444930,214,170,44,0.794392523364486,6,Mostly Positive,all,steam,all,1,365,2026-09-13T18:40:41.692266+00:00,success,,200,0,2.421999999999798,0,0,0
496170,9,7,2,0.7777777777777778,0,9 user reviews,all,steam,all,1,365,2026-09-13T18:40:43.812962+00:00,success,,200,0,1.75,0,0,0
497880,12,5,7,0.4166666666666667,5,Mixed,all,steam,all,1,365,2026-09-13T18:40:45.990494+00:00,success,,200,0,2.234000000000151,0,0,0
523630,0,0,0,,0,No user reviews,all,steam,all,1,365,2026-09-13T18:40:48.175571+00:00,success,,200,0,2.1099999999999,0,0,0
533610,10,9,1,0.9,7,Positive,all,steam,all,1,365,2026-09-13T18:40:50.344439+00:00,success,,200,0,2.125,0,0,0
541300,4715,3225,1490,0.6839872746553552,5,Mixed,all,steam,all,1,365,2026-09-13T18:40:52.522939+00:00,success,,200,0,2.5939999999998236,0,0,0
606160,7248,6649,599,0.9173565121412803,8,Very Positive,all,steam,all,1,365,2026-09-13T18:40:54.606101+00:00,success,,200,0,1.6400000000001,0,0,0
633080,1101,726,375,0.659400544959128,5,Mixed,all,steam,all,1,365,2026-09-13T18:40:56.647108+00:00,success,,200,0,2.0160000000000764,0,0,0
660200,1,1,0,1.0,0,1 user reviews,all,steam,all,1,365,2026-09-13T18:40:58.905989+00:00,success,,200,0,2.3279999999999745,0,0,0
662000,0,0,0,,0,No user reviews,all,steam,all,1,365,2026-09-13T18:41:00.938131+00:00,success,,200,0,2.0,0,0,0
690320,5,5,0,1.0,0,5 user reviews,all,steam,all,1,365,2026-09-13T18:41:03.133496+00:00,success,,200,0,2.0629999999998745,0,0,0
766500,19,12,7,0.631578947368421,5,Mixed,all,steam,all,1,365,2026-09-13T18:41:05.206151+00:00,success,,200,0,2.0,0,0,0
832360,419,246,173,0.5871121718377088,5,Mixed,all,steam,all,1,365,2026-09-13T18:41:07.440934+00:00,success,,200,0,2.1569999999999254,0,0,0
863970,7,6,1,0.8571428571428571,0,7 user reviews,all,steam,all,1,365,2026-09-13T18:41:09.573143+00:00,success,,200,0,2.1089999999999236,0,0,0
887330,22,14,8,0.6363636363636364,5,Mixed,all,steam,all,1,365,2026-09-13T18:41:11.656327+00:00,success,,200,0,2.1720000000000255,0,0,0
990380,1910,1605,305,0.8403141361256544,8,Very Positive,all,steam,all,1,365,2026-09-13T18:41:13.880142+00:00,success,,200,0,2.1410000000000764,0,0,0
993770,0,0,0,,0,No user reviews,all,steam,all,1,365,2026-09-13T18:41:16.022757+00:00,success,,200,0,2.125,0,0,0
1004640,5650,5059,591,0.8953982300884956,8,Very Positive,all,steam,all,1,365,2026-09-13T18:41:18.192514+00:00,success,,200,0,2.0319999999999254,0,0,0
1024820,9,6,3,0.6666666666666666,0,9 user reviews,all,steam,all,1,365,2026-09-13T18:41:20.321250+00:00,success,,200,0,2.2349999999999,0,0,0
1033380,8,8,0,1.0,0,8 user reviews,all,steam,all,1,365,2026-09-13T18:41:22.546680+00:00,success,,200,0,2.0939999999998236,0,0,0
1056170,37,26,11,0.7027027027027027,6,Mostly Positive,all,steam,all,1,365,2026-09-13T18:41:24.699111+00:00,success,,200,0,2.094000000000051,0,0,0
1057580,36,19,17,0.5277777777777778,5,Mixed,all,steam,all,1,365,2026-09-13T18:41:26.818117+00:00,success,,200,0,2.1720000000000255,0,0,0
1058230,2,0,2,0.0,0,2 user reviews,all,steam,all,1,365,2026-09-13T18:41:28.951254+00:00,success,,200,0,2.1400000000001,0,0,0
1058710,365,293,72,0.8027397260273973,8,Very Positive,all,steam,all,1,365,2026-09-13T18:41:31.186513+00:00,success,,200,0,2.0,0,0,0
1101650,2,1,1,0.5,0,2 user reviews,all,steam,all,1,365,2026-09-13T18:41:33.256661+00:00,success,,200,0,2.0,0,0,0
1126340,8,7,1,0.875,0,8 user reviews,all,steam,all,1,365,2026-09-13T18:41:49.932872+00:00,success,,200,0,0.5,0,0,0
1141550,1682,1568,114,0.9322235434007135,8,Very Positive,all,steam,all,1,365,2026-09-13T18:41:52.106182+00:00,success,,200,0,1.969000000000051,0,0,0
1151990,76,72,4,0.9473684210526315,8,Very Positive,all,steam,all,1,365,2026-09-13T18:41:54.164273+00:00,success,,200,0,2.078999999999951,0,0,0
1154140,1,1,0,1.0,0,1 user reviews,all,steam,all,1,365,2026-09-13T18:41:56.341209+00:00,success,,200,0,2.203999999999951,0,0,0
1156820,36,28,8,0.7777777777777778,6,Mostly Positive,all,steam,all,1,365,2026-09-13T18:41:58.379238+00:00,success,,200,0,2.0,0,0,0
1166940,43,16,27,0.37209302325581395,4,Mostly Negative,all,steam,all,1,365,2026-09-13T18:42:00.525697+00:00,success,,200,0,2.015999999999849,0,0,0
1170570,4712,4596,116,0.9753820033955858,9,Overwhelmingly Positive,all,steam,all,1,365,2026-09-13T18:42:02.686365+00:00,success,,200,0,2.5,0,0,0
1191050,5,5,0,1.0,0,5 user reviews,all,steam,all,1,365,2026-09-13T18:42:04.895831+00:00,success,,200,0,1.7029999999999745,0,0,0
1194040,4,4,0,1.0,0,4 user reviews,all,steam,all,1,365,2026-09-13T18:42:07.010519+00:00,success,,200,0,2.0930000000000746,0,0,0
1201700,477,403,74,0.8448637316561844,8,Very Positive,all,steam,all,1,365,2026-09-13T18:42:09.105497+00:00,success,,200,0,2.2029999999999745,0,0,0
1239360,218,215,3,0.9862385321100917,8,Very Positive,all,steam,all,1,365,2026-09-13T18:42:11.305561+00:00,success,,200,0,1.9370000000001255,0,0,0
1264970,576,546,30,0.9479166666666666,8,Very Positive,all,steam,all,1,365,2026-09-13T18:42:13.325609+00:00,success,,200,0,2.0470000000000255,0,0,0
1273640,206,198,8,0.9611650485436893,8,Very Positive,all,steam,all,1,365,2026-09-13T18:42:15.358847+00:00,success,,200,0,1.9839999999999236,0,0,0
1274700,5,5,0,1.0,0,5 user reviews,all,steam,all,1,365,2026-09-13T18:42:17.391908+00:00,success,,200,0,2.109000000000151,0,0,0
1275550,326,274,52,0.8404907975460123,8,Very Positive,all,steam,all,1,365,2026-09-13T18:42:19.410762+00:00,success,,200,0,1.796999999999798,0,0,0
1283360,6,4,2,0.6666666666666666,0,6 user reviews,all,steam,all,1,365,2026-09-13T18:42:21.539630+00:00,success,,200,0,2.0620000000001255,0,0,0
1292460,66,59,7,0.8939393939393939,8,Very Positive,all,steam,all,1,365,2026-09-13T18:42:23.579616+00:00,success,,200,0,2.0470000000000255,0,0,0
1295870,63,47,16,0.746031746031746,6,Mostly Positive,all,steam,all,1,365,2026-09-13T18:42:25.759494+00:00,success,,200,0,2.234000000000151,0,0,0
1296660,130,95,35,0.7307692307692307,6,Mostly Positive,all,steam,all,1,365,2026-09-13T18:42:27.950370+00:00,success,,200,0,2.203000000000202,0,0,0
1298430,10,7,3,0.7,6,Mostly Positive,all,steam,all,1,365,2026-09-13T18:42:30.143342+00:00,success,,200,0,2.030999999999949,0,0,0
1308940,112,111,1,0.9910714285714286,8,Very Positive,all,steam,all,1,365,2026-09-13T18:42:32.176607+00:00,success,,200,0,2.0470000000000255,0,0,0
1329030,13,12,1,0.9230769230769231,7,Positive,all,steam,all,1,365,2026-09-13T18:42:34.291750+00:00,success,,200,0,2.094000000000051,0,0,0
1330360,409,242,167,0.5916870415647921,5,Mixed,all,steam,all,1,365,2026-09-13T18:42:36.546062+00:00,success,,200,0,2.188000000000102,0,0,0
1342490,1831,1158,673,0.6324412889131622,5,Mixed,all,steam,all,1,365,2026-09-13T18:42:38.785361+00:00,success,,200,0,2.219000000000051,0,0,0
1342690,413,374,39,0.9055690072639225,8,Very Positive,all,steam,all,1,365,2026-09-13T18:42:40.918563+00:00,success,,200,0,2.0,0,0,0
1344550,83,49,34,0.5903614457831325,5,Mixed,all,steam,all,1,365,2026-09-13T18:42:43.106642+00:00,success,,200,0,2.1870000000001255,0,0,0
1380990,74,74,0,1.0,8,Very Positive,all,steam,all,1,365,2026-09-13T18:42:45.127632+00:00,success,,200,0,2.063000000000102,0,0,0
