appid,name,release_date,search_release_date,store_release_date,release_date_conflict,developer,publisher,is_free,platform_windows,platform_mac,platform_linux,is_early_access,release_month
2424480,No Heroes Here 2,2025-07-01,2025-07-01,2025-07-01,False,"[""Mad Mimic""]","[""Mad Mimic""]",False,True,False,False,,2025-07
2471390,BloodRush: Undying Wish,2025-07-01,2025-07-01,2025-07-01,False,"[""Lightmancer Studios""]","[""Nuntius Games"",""Vsoo Games""]",False,True,False,True,,2025-07
3082100,Day of the Shell: Prologue,2025-07-01,2025-07-01,2025-07-01,False,"[""Duper Games""]","[""Goblinz Publishing""]",True,True,False,False,,2025-07
3224330,Thunderman - Adventures in another realm,2025-07-01,2025-07-01,2025-07-01,False,"[""Robson ZImmermann"",""João Agostinho Gabardo Neto""]","[""Experia Studio""]",False,True,False,False,,2025-07
3276950,Cardcaster,2025-07-01,2025-07-01,2025-07-01,False,"[""Taco Snake Games""]","[""Taco Snake Games""]",False,True,False,False,,2025-07
3363570,Symphorix,2025-07-01,2025-07-01,2025-07-01,False,"[""OnTriggerJoy""]","[""OnTriggerJoy""]",False,True,False,False,,2025-07
3449030,"Upwards, Rain! The Post Office of Farewells",2025-07-01,2025-07-01,2025-07-01,False,"[""Studio Élan""]","[""Studio Élan"",""Studio Elan"",""Stellar Artificer Games""]",False,True,True,True,,2025-07
3491430,Mini Star Quest,2025-07-01,2025-07-01,2025-07-01,False,"[""MACKINN7""]","[""MACKINN7""]",False,True,False,False,,2025-07
3505350,Brainkilled,2025-07-01,2025-07-01,2025-07-01,False,"[""Brainkilled Games""]","[""Brainkilled Games""]",False,True,False,False,,2025-07
3580760,Concrete Spaces,2025-07-01,2025-07-01,2025-07-01,False,"[""Samuli Pietikäinen""]","[""olisinpa.com/täällä""]",False,True,False,False,,2025-07
3709000,The Drawstring Dungeon,2025-07-01,2025-07-01,2025-07-01,False,"[""Sleeper Build Studio""]","[""Sleeper Build Studio""]",False,True,False,False,,2025-07
3737940,Rat Race Combat: Zombie Tribute,2025-07-01,2025-07-01,2025-07-01,False,"[""SynthecLab""]","[""SynthecLab""]",False,True,False,False,,2025-07
3766870,USAID Approvals Department,2025-07-01,2025-07-01,2025-07-01,False,"[""Jeremy Benisek (CyberAxe)""]","[""OutLandishly Crafted""]",False,True,False,False,,2025-07
3782410,Veil: Mirages,2025-07-01,2025-07-01,2025-07-01,False,"[""spiritwolf""]","[""spiritwolf""]",False,True,False,False,,2025-07
3792500,The Museum,2025-07-01,2025-07-01,2025-07-01,False,"[""DarkLab Games""]","[""DarkLab Games""]",False,True,False,False,,2025-07
3812230,Mind Echoes: Remnants of the Past Collector's Edition,2025-07-01,2025-07-01,2025-07-01,False,"[""Do Games Limited""]","[""Do Games Limited""]",False,True,False,False,,2025-07
3814660,Fantasy  Journey,2025-07-01,2025-07-01,2025-07-01,False,"[""YIN LIFENG""]","[""YIN LIFENG""]",False,True,False,False,,2025-07
2549930,Ostrich Farm,2025-07-02,2025-07-02,2025-07-02,False,"[""Hedgehorse""]","[""Hedgehorse""]",False,True,False,False,,2025-07
3552920,Bomb Bowling X,2025-07-02,2025-07-02,2025-07-02,False,"[""grin robot""]","[""grin robot""]",False,True,False,False,,2025-07
3677120,3Tower,2025-07-02,2025-07-02,2025-07-02,False,"[""Wechselbalg Studio""]","[""Wechselbalg Studio""]",False,True,False,False,,2025-07
3748700,Xiao Jun (English Edition),2025-07-02,2025-07-02,2025-07-02,False,"[""jackzhou77571""]","[""jackzhou77571""]",False,True,False,False,,2025-07
3754320,Project DAR,2025-07-02,2025-07-02,2025-07-02,False,"[""7Corp""]","[""7Corp""]",False,True,False,False,,2025-07
3821520,Space Pinball,2025-07-02,2025-07-02,2025-07-02,False,"[""3ichael 7ambert"",""Rameez"",""Matt Mateo VII"",""Rayu Johnson""]","[""Drunk Yeti""]",False,True,False,False,,2025-07
2327050,Pyrite Tycoon,2025-07-03,2025-07-03,2025-07-03,False,"[""Pyrite Games""]","[""Pyrite Games""]",True,True,True,False,,2025-07
3169180,Chosen War,2025-07-03,2025-07-03,2025-07-03,False,"[""泉游工作室""]","[""泉游工作室""]",False,True,False,False,,2025-07
3204140,Novel Rogue,2025-07-03,2025-07-03,2025-07-03,False,"[""Exe Create Inc.""]","[""KEMCO""]",False,True,False,False,,2025-07
3499160,Hemera,2025-07-03,2025-07-03,2025-07-03,False,"[""earendel""]","[""earendel""]",False,True,True,False,,2025-07
3500750,Score the Fear,2025-07-03,2025-07-03,2025-07-03,False,"[""AquaEternity""]","[""AquaEternity""]",False,True,False,False,,2025-07
3554010,Lixing's Picross World,2025-07-03,2025-07-03,2025-07-03,False,"[""LixingGame""]","[""LixingGame""]",False,True,False,False,,2025-07
3668840,CAGELING,2025-07-03,2025-07-03,2025-07-03,False,"[""乱码""]","[""乱码""]",False,True,False,False,,2025-07
3766170,100 Cats Lost In Japan Find & Color,2025-07-03,2025-07-03,2025-07-03,False,"[""Two Cats Games""]","[""Two Cats Games""]",True,True,False,False,,2025-07
3812840,magical capture,2025-07-03,2025-07-03,2025-07-03,False,"[""DIG Games""]","[""DIG Games""]",False,True,False,False,,2025-07
660200,Transistor Defense,2025-07-04,2025-07-04,2025-07-04,False,"[""Realm Games LLC"",""Valiant Pixel Studios LLC""]","[""Realm Games LLC""]",False,True,True,False,,2025-07
1856490,Arhaekon,2025-07-04,2025-07-04,2025-07-04,False,"[""Predict Edumedia""]","[""Predict Edumedia""]",False,True,False,False,,2025-07
3096410,Mini Dungeons,2025-07-04,2025-07-04,2025-07-04,False,"[""Matthew Fong"",""Minjang Jin""]","[""noodlebapstudio""]",False,True,False,False,,2025-07
3436960,Erika America,2025-07-04,2025-07-04,2025-07-04,False,"[""Grant G Heffner""]","[""Grant G Heffner""]",False,True,True,False,,2025-07
3490140,The Dead House,2025-07-04,2025-07-04,2025-07-04,False,"[""Nursultan Nazarov""]","[""Nursultan Nazarov""]",False,True,False,False,,2025-07
3561970,Friend of a Slime,2025-07-04,2025-07-04,2025-07-04,False,"[""Chrio Games""]","[""Chrio Games""]",False,True,False,True,,2025-07
3569570,Project Dreamscape,2025-07-04,2025-07-04,2025-07-04,False,"[""Studio ASPEN""]","[""EGD Collective""]",True,True,False,False,,2025-07
3582170,Cart Capers,2025-07-04,2025-07-04,2025-07-04,False,"[""Patricarty Devs""]","[""Patricarty Devs""]",False,True,False,False,,2025-07
3593000,Abrez,2025-07-04,2025-07-04,2025-07-04,False,"[""Haruka Nitaka"",""S.Daas"",""Tony Tutty"",""Sussanne Beaujeu"",""T.Beaujeu""]","[""Haftas""]",False,True,False,False,,2025-07
3746980,a pig game: A Pee Wee Premiere,2025-07-04,2025-07-04,2025-07-04,False,"[""McGraw Game Jams""]","[""PineyWoods Corner, LLC""]",True,True,False,False,,2025-07
3754500,Mad Carnival,2025-07-04,2025-07-04,2025-07-04,False,"[""XXIV""]","[""XXIV""]",False,True,False,False,,2025-07
3776630,Bananaganza,2025-07-04,2025-07-04,2025-07-04,False,"[""SADE""]","[""SADE""]",False,True,True,True,,2025-07
3809890,ALASKA - An Endless Night,2025-07-04,2025-07-04,2025-07-04,False,"[""Poule In The Pool""]","[""ARTFX - GAME""]",True,True,False,False,,2025-07
3820950,Sef Saga,2025-07-04,2025-07-04,2025-07-04,False,"[""Sef""]","[""Sef""]",False,True,False,False,,2025-07
3822620,Dungeonborne Settlement,2025-07-04,2025-07-04,2025-07-04,False,"[""Dersty""]","[""HappyForest""]",False,True,False,False,,2025-07
3823440,Masquerade,2025-07-04,2025-07-04,2025-07-04,False,"[""DEUS EX MACHINA TROUPE""]","[""ARTFX - GAME""]",True,True,False,False,,2025-07
3830510,Motorcycle Boy,2025-07-04,2025-07-04,2025-07-04,False,"[""hgmGame""]","[""hgmGame""]",False,True,False,False,,2025-07
2751920,Redacted:Genome,2025-07-05,2025-07-05,2025-07-05,False,"[""BevMaxGames""]","[""BevMaxGames""]",False,True,False,False,,2025-07
3002630,Dionysus,2025-07-05,2025-07-05,2025-07-05,False,"[""Brady Marchand""]","[""Catsle Studios""]",False,True,False,False,,2025-07
3572030,Motamo,2025-07-05,2025-07-05,2025-07-05,False,"[""Black Potion""]","[""Black Potion""]",True,True,True,True,,2025-07
3810010,Overdrawn,2025-07-05,2025-07-05,2025-07-05,False,"[""Rethuna Games""]","[""Rethuna Games""]",False,True,True,False,,2025-07
3820830,Anime Dream Match: Primates,2025-07-05,2025-07-05,2025-07-05,False,"[""Blender Games""]","[""Blender Games""]",False,True,False,False,,2025-07
3821350,Vengeance,2025-07-05,2025-07-05,2025-07-05,False,"[""AdeniumGames""]","[""AdeniumGames""]",True,True,False,False,,2025-07
3337710,Ghost Pub,2025-07-06,2025-07-06,2025-07-06,False,"[""Capers""]","[""Capers""]",False,True,False,False,,2025-07
3435810,GoodMan,2025-07-06,2025-07-06,2025-07-06,False,"[""GoodWorks Games""]","[""GoodWorks Games""]",False,True,False,False,,2025-07
3454830,SurfsUp,2025-07-06,2025-07-06,2025-07-06,False,"[""Mark Arneman"",""Nerdiful"",""Carina Arneman""]","[""bearlikelion""]",True,True,True,True,,2025-07
3720920,The Silent Witness,2025-07-06,2025-07-06,2025-07-06,False,"[""Abnormal Studios""]","[""Abnormal Studios""]",False,True,False,False,,2025-07
3800900,Simple Zombie Survival,2025-07-06,2025-07-06,2025-07-06,False,"[""Omega Play Games""]","[""Omega Play Games""]",True,True,False,False,,2025-07
3820330,hazard versus,2025-07-06,2025-07-06,2025-07-06,False,"[""not mario""]","[""not mario""]",False,True,True,False,,2025-07
3823660,Kaptan Ege,2025-07-06,2025-07-06,2025-07-06,False,"[""Crash Entertainment""]","[""Crash Entertainment""]",False,True,False,False,,2025-07
3055530,Dare to Lucid Dream,2025-07-07,2025-07-07,2025-07-07,False,"[""Ghost Penguin""]","[""Ghost Penguin""]",False,True,False,True,,2025-07
3064730,Twisted Jam,2025-07-07,2025-07-07,2025-07-07,False,"[""Ethan Medjuck""]","[""Etymorph Studios""]",False,True,False,False,,2025-07
3186250,Zombie Murder 3,2025-07-07,2025-07-07,2025-07-07,False,"[""Falco Software""]","[""Falco Software""]",True,True,False,False,,2025-07
3516180,"Don't FOOL ME, Beauties!",2025-07-07,2025-07-07,2025-07-07,False,"[""Storytaco""]","[""Storytaco""]",False,True,True,True,,2025-07
3636110,不思議な世界の観光日記Ⅱ～パクルワールドとセジカの逆襲～,2025-07-07,2025-07-07,2025-07-07,False,"[""不思議な世界の観光日記製作委員会""]","[""ナナナナ　ナナナ""]",False,True,False,False,,2025-07
3727830,Forest Asylum 2,2025-07-07,2025-07-07,2025-07-07,False,"[""Michal Piotrowski""]","[""Michal Piotrowski""]",False,True,False,False,,2025-07
3746660,The BubonicZ,2025-07-07,2025-07-07,2025-07-07,False,"[""Jakeercgames""]","[""Jakeerrcgames""]",False,True,False,False,,2025-07
3799290,S.R.A,2025-07-07,2025-07-07,2025-07-07,False,"[""Piero Andreoni""]","[""Piero Andreoni""]",True,True,False,False,,2025-07
3807530,Chillout,2025-07-07,2025-07-07,2025-07-07,False,"[""Cacti8""]","[""Cacti8""]",False,True,False,False,,2025-07
